epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,331.741,2.93927,4.45973,2.70184,3.48182,0,0.73125,0.2,0.39955,0.10342,0.37096,0.6,0.51579,0.18458,2.44288,3.87002,2.62823,2.9037,0,0.0008516,0.0008516,0.0008516
31,341.826,3.13934,4.26563,2.6998,3.50028,0,0.28841,0.6,0.37921,0.11966,0.28841,0.6,0.39952,0.19503,2.48167,3.87001,2.71042,2.89532,0,0.000812,0.000812,0.000812
32,355.233,3.13809,4.4986,2.77231,3.59894,0,0.28841,0.6,0.37921,0.11966,0.28841,0.6,0.39952,0.19503,2.48167,3.87001,2.71042,2.89532,0,0.0007724,0.0007724,0.0007724
33,374.773,2.95732,4.04969,2.72166,3.44001,0,0.27905,0.6,0.37642,0.11807,0.27905,0.6,0.37856,0.22962,2.49088,3.90421,2.79263,2.88848,0,0.0007328,0.0007328,0.0007328
34,389.401,3.14319,4.23401,2.81644,3.57278,0,0.27905,0.6,0.37642,0.11807,0.27905,0.6,0.37856,0.22962,2.49088,3.90421,2.79263,2.88848,0,0.0006932,0.0006932,0.0006932
35,404.822,2.94576,4.222,2.74636,3.44926,0,0.25748,0.6,0.33841,0.12408,0.25748,0.6,0.33854,0.21519,2.47496,3.90341,2.75479,2.8673,0,0.0006536,0.0006536,0.0006536
36,422.711,3.00109,4.40134,2.76095,3.49002,0,0.26691,0.6,0.36771,0.14235,0.26691,0.6,0.36811,0.23358,2.43271,3.88762,2.73272,2.85908,0,0.000614,0.000614,0.000614
37,435.66,2.98244,4.27,2.6583,3.41035,0,0.26691,0.6,0.36771,0.14235,0.26691,0.6,0.36811,0.23358,2.43271,3.88762,2.73272,2.85908,0,0.0005744,0.0005744,0.0005744
38,448.986,2.96866,4.41165,2.64756,3.43892,0,0.40068,0.6,0.4336,0.16575,0.40068,0.6,0.43711,0.28798,2.42573,3.80669,2.66765,2.84541,0,0.0005348,0.0005348,0.0005348
39,462.017,2.96738,4.16114,2.65085,3.39479,0,0.50988,0.6,0.49864,0.18941,0.43346,0.6,0.50548,0.31696,2.35197,3.758,2.64158,2.81248,0,0.0004952,0.0004952,0.0004952
40,472.049,2.97015,4.38497,2.65784,3.38952,0,0.50988,0.6,0.49864,0.18941,0.43346,0.6,0.50548,0.31696,2.35197,3.758,2.64158,2.81248,0,0.0004556,0.0004556,0.0004556
41,481.971,2.50456,4.39824,2.91164,3.21795,0,0.55363,0.4,0.56581,0.20664,0.55363,0.4,0.57319,0.33483,2.30286,3.70072,2.58776,2.77913,0,0.000416,0.000416,0.000416
42,492.716,2.45547,4.38819,2.99339,3.32375,0,0.55363,0.4,0.56581,0.20664,0.55363,0.4,0.57319,0.33483,2.30286,3.70072,2.58776,2.77913,0,0.0003764,0.0003764,0.0003764
43,504.854,2.51655,4.31915,2.91545,3.26725,0,0.5465,0.6,0.51862,0.19881,0.5465,0.6,0.52292,0.30101,2.25554,3.69808,2.56588,2.7439,0,0.0003368,0.0003368,0.0003368
44,517.584,2.47546,4.61822,2.7909,3.19413,0,0.54231,0.48463,0.60429,0.25534,0.54231,0.48463,0.56597,0.33374,2.21729,3.68759,2.48087,2.70549,0,0.0002972,0.0002972,0.0002972
45,528.409,2.53783,4.20243,2.77811,3.17162,0,0.54231,0.48463,0.60429,0.25534,0.54231,0.48463,0.56597,0.33374,2.21729,3.68759,2.48087,2.70549,0,0.0002576,0.0002576,0.0002576
46,538.823,2.59771,4.05919,2.93223,3.29396,0,0.49897,0.6,0.615,0.28305,0.56146,0.6,0.51844,0.31672,2.17906,3.70705,2.55233,2.67455,0,0.000218,0.000218,0.000218
47,548.87,2.43027,4.17545,2.83512,3.23339,0,0.62222,0.8,0.74643,0.30799,0.51305,0.4,0.53773,0.31207,2.15361,3.70293,2.53405,2.65107,0,0.0001784,0.0001784,0.0001784
48,558.6,2.50315,4.44694,2.87745,3.20115,0,0.62222,0.8,0.74643,0.30799,0.51305,0.4,0.53773,0.31207,2.15361,3.70293,2.53405,2.65107,0,0.0001388,0.0001388,0.0001388
49,568.255,2.41427,4.25782,2.77518,3.14093,0,0.66838,0.8,0.775,0.31446,0.50129,0.6,0.61667,0.34761,2.14361,3.70277,2.50483,2.63095,0,9.92e-05,9.92e-05,9.92e-05
50,579.467,2.39433,4.28896,2.84428,3.23624,0,0.66838,0.8,0.775,0.31446,0.50129,0.6,0.61667,0.34761,2.14361,3.70277,2.50483,2.63095,0,5.96e-05,5.96e-05,5.96e-05
